capture_date,last_update,confirmed,deaths,recovered,active,incident_rate,case_fatality_ratio,uid
2021-04-15,2021-04-15 04:20:54,377,1,374,2,1.4877663772691396,0.26525198938992045,15615
2021-04-15,2021-04-15 04:20:54,716,0,708,8,0.8893305179480809,0.0,15616
2021-04-15,2021-04-15 04:20:54,937,1,936,0,2.01592082616179,0.10672358591248667,15617
2021-04-15,2021-04-15 04:20:54,573,3,570,0,2.1190828402366866,0.5235602094240838,15618
2021-04-15,2021-04-15 04:20:54,408,2,405,1,0.9359944941500344,0.49019607843137253,15619
2021-04-15,2021-04-15 04:20:54,49,0,48,1,7.546100514058847,0.0,446
2021-04-15,2021-04-15 04:20:54,75,0,75,0,1.0901162790697674,0.0,15620
2021-04-15,2021-04-15 04:20:54,18,0,18,0,0.29850746268656714,0.0,15621
2021-04-15,2021-04-15 04:20:54,578,3,562,13,1.4958592132505175,0.5190311418685121,15622
2021-04-15,2021-04-15 04:20:54,873,7,862,4,0.8689160943565243,0.8018327605956472,15623
2021-04-15,2021-04-15 04:20:54,1934,7,1872,55,7.978547854785478,0.3619441571871768,15624
2021-04-15,2021-04-15 04:20:54,249,0,240,9,0.6697149004841313,0.0,15625
2021-04-15,2021-04-15 04:20:54,959,3,940,16,1.1497422371418295,0.31282586027111575,15626
2021-04-15,2021-04-15 04:20:54,377,3,369,5,2.4166666666666665,0.7957559681697612,15627
2021-04-15,2021-04-15 04:20:54,1,0,1,0,0.02906976744186046,0.0,15628
2021-04-15,2021-04-15 04:20:54,0,0,3,-3,0.0,0.0,15699
2021-04-15,2021-04-15 04:20:54,980,3,977,0,3.940490550864496,0.30612244897959184,15629
2021-04-15,2021-04-15 04:20:54,325,2,238,85,0.6728778467908902,0.6153846153846154,15630
2021-04-15,2021-04-15 04:20:54,1327,1,1320,6,2.3130556039742025,0.07535795026375283,15631
2021-04-15,2021-04-15 04:20:54,5992,227,5719,46,7823.577798378357,3.788384512683578,17001
